Checkpoint;Estacion;Actividad;Orden;Status cliente;Status cliente 2;;
LLegada a Almacén EFC (Hora ingreso importación);Exp. Importación y Prov.;;9;Recepción de mercadería internacional;En proceso de preparación del pedido;;
Descarga de Mercadería Importación;Exp. Importación y Prov.;;1;Recepción de mercadería internacional;En proceso de preparación del pedido;;
Grilla Exp. Importaciones;Exp. Importación y Prov.;;0;Mercadería en gestión internacional;En proceso de preparación del pedido;;
Generación cargo Expeditador;Exp. Nacional y Prov.;;9;Mercadería en tránsito a nuestro centro de distribución;En proceso de preparación del pedido;;
Envío a distribución;Exp. Nacional y Prov.;;9;Mercadería en tránsito a nuestro centro de distribución;En proceso de preparación del pedido;;
Recepción de cargo;Exp. Nacional y Prov.;;9;Mercadería en tránsito a nuestro centro de distribución;En proceso de preparación del pedido;;
Recepción Mercadería;Exp. Nacional y Prov.;;1;Recepción de mercadería;En proceso de preparación del pedido;;
Asignar ruta recojo;Exp. Nacional y Prov.;;9;Mercadería en tránsito a nuestro centro de distribución;En proceso de preparación del pedido;;
Grilla Exp. Nacional I;Exp. Nacional y Prov.;;0;Mercadería en tránsito a nuestro centro de distribución;En proceso de preparación del pedido;;
Grilla Exp. Nacional II;Exp. Nacional y Prov.;;0;Mercadería en tránsito a nuestro centro de distribución;En proceso de preparación del pedido;;
Registro de cita en el sistema;Gest. Citas y Operador Logístico;Generación de citas  ;9;Registro de cita para entrega de mercadería;Cita para entrega gestionada;;Cita para entrega gestionada
Cita  ;Gest. Citas y Operador Logístico;;9;Registro de cita para entrega de mercadería;Cita para entrega gestionada;;
Última modificación de la cita en el sistema;Gest. Citas y Operador Logístico;Generación de citas  ;9;Registro de cita para entrega de mercadería;Cita para entrega gestionada;;
Grilla gestión citas;Gest. Citas y Operador Logístico;Generación de citas  ;0;En gestión de cita para entrega de mercadería;Gestión de cita para entrega;;
Inicio de gestion de cita;Gest. Citas y Operador Logístico;;;En gestión de cita para entrega de mercadería;Gestión de cita para entrega;;
Solicitud de cita;Gest. Citas y Operador Logístico;;;En gestión de cita para entrega de mercadería;Gestión de cita para entrega;;
Enviar a asignacion de ruta;Gest. Citas y Operador Logístico;Generación de citas  ;1;En gestión de despacho de la mercadería;Cita para entrega gestionada;;
Envio al flujo;Ing. de Pedidos;Ingreso de Pedidos  ;1;Registro correcto del pedido;Registro correcto del pedido;;
Envio OC cliente;Ing. de Pedidos;Ingreso de Pedidos  ;0;Recepción de Orden de compra;Registro del pedido;;
Grilla de codificación;Ing. de Pedidos;;9;Gestión de artículos del pedido;Registro del pedido;;
Reserva del # de pre-guía;Packing;Packing  ;9;Mercadería en proceso de packing;Preparación de mercadería para despacho;;
Asignación de pesos y bultos a pre-guía;Packing;Packing  ;1;Mercadería en proceso de packing;Preparación de mercadería para despacho;;
Generación de pre-guía;Packing;Packing  ;9;Mercadería en proceso de packing;Preparación de mercadería para despacho;;
Grilla preparación pedidos;Packing;Packing  ;9;Mercadería en proceso de packing;Preparación de mercadería para despacho;;
Grilla de pedido por guiar;Packing;;9;Mercadería en proceso de packing;Preparación de mercadería para despacho;;
Grilla preparación pedidos item;Packing;Packing  ;0;Mercadería en proceso de packing;Preparación de mercadería para despacho;;
